PaperID,Title,Year,Venue,PublicationType,Category,RQ,TaxonomyLayer,VenueTier,RelevanceScore,ReferenceRole,AnchorType,MethodOrContribution,DatasetOrBenchmark,LanguageCoverage,Evaluation,MainFinding,Limitations,UseInReview,VerificationStatus,UseLevel
BB04,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,2021,IEEE/ACM TASLP,JournalArticle,SSLEncoder,RQ2,Model layer|SSL encoder,Top-tier,5,Core Anchor,Model anchor,Offline clustering + masked prediction over hidden units,HuBERT,LibriSpeech / Libri-Light,WER,Replaced contrastive targets with hidden-unit prediction and became one of the most influential SSL baselines for ASR transfer.,Mostly English-centric in original evaluation; multilingual claims require downstream studies.,Core SSL anchor and comparator in Block B.,Verified-secondary-source; primary source pending,High-value-citable
BB05,W2v-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,2021,ASRU 2021,ConferencePaper,SSLEncoder,RQ2,Model layer|SSL encoder,Strong,4,High-Value Support,Model anchor,End-to-end combination of contrastive learning and MLM-style masked prediction,w2v-BERT,Libri-Light / Google speech benchmarks,WER,Strong SSL hybrid that reduced dependence on iterative reclustering and pushed encoder quality forward.,Venue metadata is less easily verifiable from primary web access than NeurIPS or PMLR items.,Useful bridge between HuBERT and later W2v-BERT 2.0 / Seamless systems.,Verified-secondary-source; primary source pending,High-value-citable
BB06,Self-supervised Learning with Random-Projection Quantizer for Speech Recognition,2022,ICML 2022,ConferencePaper,SSLEncoder,RQ2,Model layer|SSL encoder,Top-tier,4,High-Value Support,Model anchor,Random-projection quantization for simpler SSL speech targets,BEST-RQ,Large-scale speech pretraining; LibriSpeech fine-tuning,WER,"Demonstrated a simpler, effective alternative to learned quantizers and became important in scalable ASR SSL recipes.",Reproducibility can vary with random projection initialization.,Use as the efficiency counterpoint to HuBERT and w2v-BERT.,Verified-primary-source,Core-citable
BB07,"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",2022,ICML 2022,ConferencePaper,SSLEncoder,RQ2,Model layer|SSL encoder,Top-tier,4,High-Value Support,Model anchor,Latent-target self-distillation across modalities,data2vec,"Speech, vision, language; speech evaluated on standard ASR benchmarks",WER; transfer metrics,Important because it generalized the SSL target design beyond modality-specific discrete labels.,Not speech-only; low-resource ASR evidence is indirect unless paired with downstream papers.,Use to show the abstraction shift from speech-only SSL to general foundation pretraining.,Verified-primary-source,Core-citable
BB08,WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,2022,IEEE JSTSP,JournalArticle,SSLEncoder,RQ2,Model layer|SSL encoder,Strong,5,Core Anchor,Model anchor,SSL with masked speech prediction plus denoising and gated relative position bias,WavLM,94k-hour pretraining; SUPERB and speech benchmarks,SUPERB; WER; speaker tasks,"Became the strongest full-stack SSL baseline, especially persuasive when arguing that pretrained encoders encode more than phonetic content.",Still an encoder requiring adaptation; multilingual low-resource coverage is not the main design axis.,Core comparator for robustness-oriented speech encoders.,Verified-secondary-source; primary source pending,High-value-citable
BB09,XLS-R: Self-supervised Cross-lingual Speech Representation Learning at Scale,2022,Interspeech 2022,ConferencePaper,MultilingualSSL,RQ2,Model layer|Multilingual scaling,Top-tier,5,Core Anchor,Model anchor,Scale multilingual wav2vec-style pretraining to 128 languages and 436k hours,XLS-R,BABEL; Common Voice; CoVoST-2; VoxLingua107; 128 languages,WER; BLEU; LID accuracy,One of the strongest direct pieces of evidence that multilingual scale especially helps low- and mid-resource languages.,Still mostly benchmark-driven; does not eliminate language-tail performance gaps.,Central anchor for the multilingual-scaling section.,Verified-primary-source,Core-citable
BB10,SpeechT5: Unified-Modal Encoder-Decoder Pre-Training for Spoken Language Processing,2022,ACL 2022 Long Papers,ConferencePaper,SpeechTextPretraining,RQ2,Model layer|Speech-text joint pretraining,Top-tier,4,High-Value Support,Model anchor,Unified encoder-decoder pretraining over speech and text,SpeechT5,Multi-task spoken language processing benchmarks,WER; task-specific downstream metrics,Important unified speech-text precursor to later SpeechLM and SpeechLLM work.,More general spoken-language processing than low-resource ASR specifically.,Use as first major speech-text foundation-model bridge.,Verified-primary-source,Core-citable
BB11,SpeechUT: Bridging Speech and Text with Hidden-Unit for Encoder-Decoder Based Speech-Text Pre-training,2022,EMNLP 2022,ConferencePaper,SpeechTextPretraining,RQ2,Model layer|Speech-text joint pretraining,Top-tier,4,High-Value Support,Model anchor,Hidden-unit bridge between speech encoder and text decoder,SpeechUT,LibriSpeech; MuST-C; unpaired speech and text,WER; BLEU,Strong evidence that speech-text coupling improves ASR and ST beyond speech-only pretraining.,Still evaluated mostly on mainstream benchmarks.,Use to justify later speech-text and SpeechLM sections.,Verified-primary-source,Core-citable
BB12,SpeechLM: Enhanced Speech Pre-Training With Unpaired Textual Data,2024,IEEE/ACM TASLP,JournalArticle,SpeechTextPretraining,RQ2,Model layer|Speech-text joint pretraining,Top-tier,4,High-Value Support,Model anchor,Align speech and text using unified discrete representations and unpaired text,SpeechLM,"ASR, ST, universal representation tasks",WER; BLEU; representation metrics,Clear bridge from speech SSL to true speech-language pretraining.,Low-resource ASR evidence is still indirect; more transfer validation is needed.,Use in the speech-language integration subsection.,Verified-secondary-source; primary source pending,High-value-citable
BB13,DinoSR: Self-Distillation and Online Clustering for Self-supervised Speech Representation Learning,2023,NeurIPS 2023,ConferencePaper,SSLEncoder,RQ2,Model layer|SSL encoder,Top-tier,4,High-Value Support,Model anchor,"Combine self-distillation, MLM, and online clustering for speech SSL",DinoSR,Multiple downstream speech tasks,WER; downstream transfer,Strong late-stage SSL paper showing that the encoder line was still improving after HuBERT and WavLM.,Less central to multilingual low-resource transfer than XLS-R or MMS.,Use as evidence that SSL encoder innovation did not stop in 2021 to 2022.,Verified-secondary-source; primary source pending,High-value-citable
BB14,Robust Speech Recognition via Large-Scale Weak Supervision,2023,ICML 2023,ConferencePaper,FoundationASR,RQ2,Model layer|Weakly supervised foundation ASR,Top-tier,5,Core Anchor,Model anchor,Web-scale weak supervision over audio-transcript pairs,Whisper,680k-hour weakly supervised multilingual data; 90+ languages,WER; translation metrics,Perhaps the clearest practical reset of the low-resource baseline through large-scale weak supervision and robust zero- and few-shot transfer.,Transcription style normalization and data provenance remain important caveats.,Core anchor for the weak-supervision subsection.,Verified-primary-source,Core-citable
BB15,Google USM: Scaling Automatic Speech Recognition Beyond 100 Languages,2023,arXiv / Google Research,Preprint,MultilingualScaling,RQ2,Model layer|Multilingual scaling,Watchlist,5,Watchlist,Model anchor,Massive multilingual encoder pretraining plus speech-text modality matching,Universal Speech Model / Chirp,12M hours speech; 28B text sentences; 300+ languages; 100+ ASR languages,WER; ST metrics,High-value scaling reference showing that very large multilingual pretraining can compete with or exceed Whisper on many languages.,Preprint or product-adjacent release rather than a mature peer-reviewed archive paper.,Use as a watchlist anchor for industrial-scale multilingual ASR.,Watchlist-ArXiv,Watchlist-only
BB16,"Scaling Speech Technology to 1,000+ Languages",2024,JMLR,JournalArticle,MultilingualScaling,RQ2,Model layer|Multilingual scaling,Top-tier,5,Core Anchor,Model anchor,"Massively multilingual speech recognition, identification, and alignment at unprecedented language count",MMS,"1,000+ languages; multilingual ASR/LID",WER; PER; LID metrics,Strongest public evidence that language coverage itself became a first-order foundation-model variable.,Breadth does not automatically imply robustness on every tail language or domain.,Core anchor for expanded language coverage.,Verified-primary-source,Core-citable
BB17,Joint speech and text machine translation for up to 100 languages,2025,arXiv/Meta 2023; peer-reviewed venue pending,Preprint,FoundationASR,RQ2,Model layer|Multilingual multimodal foundation model,Watchlist,5,Core Anchor,Model anchor,"Unified speech and text multitask model covering S2S, S2T, T2S, T2T, and ASR",SeamlessM4T,Up to 100 languages,WER; translation quality; multilingual task metrics,"The clearest peer-reviewed statement of speech-text foundation modeling beyond plain ASR, with ASR as one supported task.",Translation-centric system; ASR evidence must be separated from speech translation and text translation claims.,Use as the multimodal foundation-model anchor.,Verified-secondary-source; peer-reviewed venue pending,High-value-citable
BB18,Qwen2-Audio Technical Report,2024,arXiv,TechnicalReport,SpeechLLM,RQ2,Model layer|Speech-LLM / audio-language model,Watchlist,3,Watchlist,Model anchor,Instruction-following audio-language model with voice chat and audio analysis modes,Qwen2-Audio,General audio and speech instruction data,AIR-Bench; instruction-following metrics,"Valuable frontier reference for speech-LLM capability, especially for the review's LLM-assisted section.",Not a dedicated low-resource ASR paper and not peer reviewed in a major venue.,Use in the future-directions and SpeechLM frontier section.,Watchlist-ArXiv,Watchlist-only
BB19,Evaluating Speech Foundation Models for Automatic Speech Recognition in the Low-Resource Kanyen'keha Language,2025,Interspeech 2025,ConferencePaper,LowResourceEvaluation,RQ2,Model layer|Low-resource transfer evidence,Top-tier,5,High-Value Support,Model anchor,"Systematic comparison of wav2vec2, HuBERT, WavLM, data2vec, and Whisper under cross-lingual transfer plus TTS augmentation and LM fusion",SFM transfer to Kanyen'keha ASR,9-hour Kanyen'keha corpus; 5 speakers,WER; CER,"One of the most valuable direct RQ2 papers: SFMs beat conventional hybrids, but low-resource success still depends on adaptation choices and data augmentation.",Single-language case study; external generalization still limited.,Use as a case box proving that foundation models help without solving the problem.,Verified-primary-source,Core-citable
BB20,Towards large-scale speech foundation models for a low-resource minority language,2025,NoDaLiDa/Baltic-HLT 2025,ConferencePaper,LowResourceEvaluation,RQ2,Model layer|Low-resource monolingual foundation model,Strong,4,High-Value Support,Model anchor,Build language-specific foundation models from large unlabeled archival audio,Northern Sami speech foundation models,"Northern Sami; 22,400 hours archival speech",ASR evaluation,Important corrective paper showing that low-resource can still permit foundation modeling if unlabeled archives are recoverable.,"Strong language-specific case, but not a general multilingual model.",Use to argue for community- and archive-driven foundation modeling.,Needs-primary-source-verification,Reserve
BB21,Making LLMs Better Many-to-Many Speech-to-Text Translators with Curriculum Learning,2025,Venue pending; primary source needed,ConferencePaper,SpeechLLM,RQ2,Model layer|Speech-LLM / speech-text generation,Strong,4,High-Value Support,Model anchor,Three-stage curriculum for adapting multilingual LLMs to speech-to-text translation,LLM-SRT,FLEURS; CoVoST-2,Translation quality; task metrics,Strong evidence that LLM-centric speech systems can leverage curriculum and MT priors in low-resource settings.,"More S2TT than ASR; should support future-direction claims, not replace ASR anchors.",Use in SpeechLM and LLM-assisted future work discussion.,Needs-primary-source-verification,Reserve
BB22,OpusLM: A Family of Open Unified Speech Language Models,2025,Interspeech 2025,ConferencePaper,SpeechLLM,RQ2,Model layer|Open SpeechLM,Top-tier,4,High-Value Support,Model anchor,"Open decoder-style SpeechLM family up to 7B with transparent training logs, code, and checkpoints",OpusLM,213k hours speech-text pairs; 292B text tokens,ASR; TTS; text metrics,High-value open reference showing scaling laws and competitive open SpeechLM performance.,Still early; low-resource ASR evidence is promising but not yet definitive.,Use as an open-model counterpoint to proprietary or industrial systems.,Verified-primary-source,Core-citable
BB23,Omnilingual ASR: Open-Source Multilingual Speech Recognition for 1600+ Languages,2025,Meta AI / arXiv,Preprint,FoundationASR,RQ2,Model layer|Massively multilingual foundation ASR,Watchlist,5,Watchlist,Model anchor,Community-extensible multilingual ASR suite for 1600+ languages,Omnilingual ASR / OmniASR,1600+ languages,ASR quality metrics,One of the most important 2025 watchlist items because it pushes public multilingual ASR scale far beyond MMS-era coverage and explicitly invites community extension.,Release-page or preprint stage; peer-reviewed validation not yet settled.,Use as a 2025 watchlist anchor in the future agenda.,Watchlist-ArXiv,Watchlist-only
BB24,"SLAM-LLM: A Modular, Open-Source Multimodal Large Language Model Framework and Best Practice for Speech, Language, Audio and Music Processing",2026,arXiv,Preprint,SpeechLLM,RQ2,Model layer|Speech-LLM framework,Watchlist,3,Watchlist,Model anchor,"Modular framework with speech encoders, projectors, LLMs, PEFT, and ASR recipes",SLAM-LLM,Multi-task speech/audio/music setup,ASR; captioning; framework benchmarks,Important because it lowers the barrier to reproducible SpeechLM experimentation and LLM-based ASR recipes.,Framework paper rather than a single canonical model; peer-reviewed status still needs confirmation.,Use in future agenda and reproducibility/tooling discussion.,Watchlist-ArXiv,Watchlist-only
BB25,LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families,2026,arXiv,Preprint,BenchmarkWatchlist,RQ2,Model layer|SpeechLM benchmark,Watchlist,5,Watchlist,Benchmark anchor,Dedicated benchmark for SpeechLMs on low-resource ASR across language families,LoASR-Bench,25 languages from 9 language families,ASR error rates,This is the most directly useful 2026 watchlist item for RQ2 because it tests whether SpeechLM-era claims actually survive on low-resource ASR.,Preprint only; benchmark uptake and protocol stability still need validation.,Use in watchlist and future work and to motivate stronger evaluation requirements.,Watchlist-ArXiv,Watchlist-only
BC01,Audio augmentation for speech recognition,2015,Interspeech 2015,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Audio augmentation,Strong,5,CoreAnchor,AugmentationAnchor,Foundational speed perturbation/audio augmentation for ASR,ASR training corpora,General ASR; low-resource relevance through data expansion,WER after augmentation,Simple foundational augmentation method,"Older general-ASR method, not low-resource-specific",Block C audio augmentation subsection.,Verified-primary-source,Core-citable
BC02,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,2019,Interspeech 2019,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Feature augmentation,Strong,5,CoreAnchor,AugmentationAnchor,Feature-level masking augmentation for ASR,ASR feature sequences,General ASR; transferable to low-resource setups,WER after feature augmentation,Standard robust augmentation recipe,Not originally low-resource-specific,Block C feature augmentation subsection.,Verified-primary-source,Core-citable
BC03,Common Voice: A Massively-Multilingual Speech Corpus,2020,LREC 2020,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Crowdsourced validation,Strong,5,CoreAnchor,CorpusConstructionAnchor,Crowdsourced multilingual speech collection and validation,Common Voice,29 released languages; 38 collecting languages at paper time,Corpus statistics and ASR baselines,Large open multilingual collection model,Uneven coverage and transcript quality,Block C corpus collection and validation; carryover from Block A.,Verified-primary-source,Core-citable
BC04,MLS: A Large-Scale Multilingual Dataset for Speech Research,2020,Interspeech 2020,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Corpus construction,Strong,5,CoreAnchor,CorpusConstructionAnchor,Large-scale multilingual corpus construction with baselines,MLS,8 languages; English plus non-English subsets,ASR and LM baselines,Large multilingual corpus construction example,Read-speech/audiobook domain limits deployment relevance,Block C corpus construction; carryover from Block A.,Verified-primary-source,Core-citable
BC05,"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",2021,ACL-IJCNLP 2021,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Unlabeled data use,Strong,5,CoreAnchor,UnlabeledCorpusAnchor,Large-scale multilingual unlabeled and transcribed speech corpus,VoxPopuli,23 languages unlabeled; 15 transcribed,Representation learning and ASR tasks,Strong example of unlabeled multilingual speech use,Formal parliamentary domain skew,Block C unlabeled-data use; carryover from Block A.,Verified-primary-source,Core-citable
BC06,Libri-Light: A Benchmark for ASR with Limited or No Supervision,2020,arXiv / venue pending,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Unlabeled data use,Secondary,4,HighValue,UnlabeledDataBenchmark,Limited/no-supervision benchmark using large unlabeled audio,Libri-Light,English audiobook speech,Limited/no-supervision ASR,Useful unlabeled-data benchmark,Venue and domain scope need checking,Block C support for unlabeled-data strategies.,Verified-secondary-source,High-value-support
BC07,GigaSpeech,2021,arXiv / venue pending,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Data filtering,Secondary,4,HighValue,CorpusPipelineAnchor,"Large-scale corpus construction using forced alignment, segmentation, filtering",GigaSpeech,English multi-domain speech,ASR baselines,Shows corpus pipelines are active data strategies,Venue pending; English-focused,Block C corpus-pipeline support.,Verified-secondary-source; Interspeech DOI indicated by arXiv,High-value-support
BC08,Discriminative Self-Training for Punctuation Prediction,2021,Interspeech 2021,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Transcript formatting / post-ASR normalization,Strong,5,HighValue,TranscriptFormattingAnchor,Self-training for punctuation prediction from unlabeled transcripts,Transcript post-processing tasks,General speech/text transcript formatting,Punctuation prediction metrics,Useful transcript-formatting anchor,Not direct ASR modeling evidence,"Use as supporting evidence for transcript formatting and punctuation restoration, not as a core ASR data-resource anchor.",Verified-primary-source,High-value-citable
BC09,ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,2023,Interspeech 2023,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Corpus construction,Strong,5,CoreAnchor,BenchmarkOrganizationAnchor,Multilingual benchmark organization and reproducible evaluation scripts,ML-SUPERB; 143 languages,143 languages,ASR and language identification,Core reproducibility and benchmark organization anchor,Benchmark scope may miss deployment settings,Block C benchmark organization and reproducibility.,Verified-primary-source,Core-citable
BC10,Unsupervised Domain Adaptation for Speech Recognition via Uncertainty Driven Self-Training,2021,"arXiv / likely ICASSP, venue pending",Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Pseudo-label filtering,Secondary,4,Reserve,FilteringAnchor,Uncertainty-driven pseudo-label filtering for domain adaptation,Domain adaptation ASR tasks,Task-dependent,WER after self-training,Connects data selection to adaptation,Reserve for Block E; venue pending,Use in Block C only for pseudo-label filtering/data-selection logic; revisit in Block E for pseudo-labeling and self-training.,Verified-secondary-source,High-value-citable
BC11,Improved Noisy Student Training for Automatic Speech Recognition,2020,arXiv / venue pending,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Pseudo-label filtering,Secondary,4,Reserve,PseudoLabelDataAnchor,"Filtering, balancing, and augmentation of pseudo-labeled data",Pseudo-labeled ASR data,Task-dependent,WER after noisy-student training,Shows pseudo-label data quality matters,Reserve for C/E bridge; venue pending,Use in Block C only for pseudo-label filtering/data-selection logic; revisit in Block E for pseudo-labeling and self-training.,Verified-secondary-source,High-value-citable
BC12,On the Effects of Heterogeneous Data Sources on Speech-to-Text Foundation Models,2024,Interspeech 2024,ConferencePaper,Block C - Data-centric low-resource ASR,RQ3,Data layer|Foundation-model-era data pipelines,Top-tier,4,HighValue,FoundationDataPipelineAnchor,"Data-source heterogeneity, filtering, punctuation and truecasing",Speech-to-text foundation-model data mixtures,Model/data dependent,S2T/ASR-style evaluation,Directly relevant to foundation-model-era data quality,Foundation-model data-pipeline evidence; not a low-resource-only ASR study.,"Use as verified primary evidence that heterogeneous data sources, filtering, punctuation, and truecasing shape speech-to-text foundation-model data quality.",Verified-primary-source,High-value-citable
BC13,GigaSpeech 2,2024,arXiv 2024,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Foundation-model-era data pipelines,Watchlist,4,Watchlist,CorpusPipelineWatchlist,"Low-resource data crawling, automatic transcription, alignment and filtering",GigaSpeech 2,Low-resource/multilingual coverage to verify,ASR benchmark evaluation,Modern data-pipeline watchlist,Watchlist preprint,Block C watchlist on data pipelines.,Watchlist-ArXiv,Watchlist-only
BC14,Making More of Little Data,2023,arXiv 2023,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Audio augmentation,Watchlist,4,Watchlist,MinorityLanguageDataAnchor,Self-training and TTS augmentation for minority languages,Minority-language ASR data,Minority languages,WER after augmentation/self-training,Relevant little-data strategy,Watchlist preprint,Block C watchlist; do not use as core evidence.,Watchlist-ArXiv,Watchlist-only
BC15,AfriSpeech-200: Pan-African Accented Speech Dataset for Clinical and General Domain ASR,2023,arXiv 2023,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Domain/accent metadata,Watchlist,4,Watchlist,AccentMetadataAnchor,Accent- and domain-aware corpus construction,AfriSpeech-200,African-accented English; 120 accents across 13 countries,WER by accent/domain,Important inclusion and metadata example,English-focused; watchlist here,Block C domain/accent metadata.,Watchlist-ArXiv,Watchlist-only
BC16,Language Agnostic Data-Driven Inverse Text Normalization,2023,arXiv 2023,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Transcript normalization,Watchlist,4,Watchlist,NormalizationAnchor,Low-resource inverse text normalization using synthetic pairs,Synthetic ITN pairs,Language-agnostic / low-resource settings,ITN metrics,Supports normalization as data strategy,Watchlist; not direct ASR core evidence,Block C transcript normalization watchlist.,Watchlist-ArXiv,Watchlist-only
BC17,Efficient Data Selection for Domain Adaptation of ASR Using Pseudo-Labels and Multi-Stage Filtering,2025,arXiv 2025,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Data filtering,Watchlist,4,Watchlist,DataSelectionAnchor,Multi-stage pseudo-label filtering and domain data selection,Pseudo-labeled domain data,Task-dependent,WER after adaptation,Relevant efficient data selection strategy,Watchlist; later Block E fit,Use in Block C only for pseudo-label filtering/data-selection logic; revisit in Block E for pseudo-labeling and self-training.,Watchlist-ArXiv,Watchlist-only
BC18,SPGISpeech,2021,arXiv 2021 / venue pending,Preprint,Block C - Data-centric low-resource ASR,RQ3,Data layer|Transcript normalization,Secondary,4,HighValue,LabelDesignAnchor,"Fully formatted ASR targets with punctuation, capitalization and denormalization",SPGISpeech,English financial-domain speech,ASR with formatted targets,Good label-design background,Domain-specific; venue pending,"Use only to discuss formatted ASR labels and transcript-output design, not low-resource evidence.",Verified-secondary-source,Background-support
BD01,Parameter-Efficient Transfer Learning for NLP,2019,ICML / PMLR 2019,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Adapter tuning,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Adapter method anchor,General transfer-learning tasks,General transfer-learning tasks,ASR adaptation evaluation or method-level adaptation evidence,General NLP method anchor; ASR use is conceptual.,Method anchor only; not direct ASR evidence.,Method anchor only; not direct ASR evidence. Cite to define PEFT mechanisms. Do not use as direct evidence that PEFT improves low-resource ASR.,Verified-primary-source,Core-citable
BD02,LoRA: Low-Rank Adaptation of Large Language Models,2022,ICLR / OpenReview 2022,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|LoRA,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,LoRA method anchor,General LLM adaptation,General LLM adaptation,ASR adaptation evaluation or method-level adaptation evidence,LoRA reduces trainable parameters by injecting low-rank matrices.,Method anchor only; not direct ASR evidence.,Method anchor only; not direct ASR evidence. Cite to define PEFT mechanisms. Do not use as direct evidence that PEFT improves low-resource ASR.,Verified-primary-source,Core-citable
BD03,QLoRA: Efficient Finetuning of Quantized LLMs,2023,NeurIPS / OpenReview 2023,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|QLoRA,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Quantized PEFT method anchor,Memory-constrained large-model adaptation,Memory-constrained large-model adaptation,ASR adaptation evaluation or method-level adaptation evidence,QLoRA enables memory-efficient quantized fine-tuning.,Method anchor only; not direct ASR evidence.,Method anchor only; not direct ASR evidence. Cite to define PEFT mechanisms. Do not use as direct evidence that PEFT improves low-resource ASR.,Verified-primary-source,Core-citable
BD04,Unsupervised Cross-lingual Representation Learning for Speech Recognition,2021,Interspeech 2021,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Cross-lingual transfer,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Cross-lingual fine-tuning / transfer,Common Voice; BABEL; multilingual ASR,Common Voice; BABEL; multilingual ASR,ASR adaptation evaluation or method-level adaptation evidence,Cross-lingual SSL fine-tuning improves multilingual low-resource ASR.,Gains depend on target-language coverage and fine-tuning data.,Cross-lingual transfer section.,Verified-primary-source,Core-citable
BD05,XLS-R: Self-supervised Cross-lingual Speech Representation Learning at Scale,2022,Interspeech 2022,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Cross-lingual transfer,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Scaled multilingual transfer and fine-tuning,128 languages; 436k hours public speech,128 languages; 436k hours public speech,ASR adaptation evaluation or method-level adaptation evidence,Scaling multilingual SSL improves transfer but does not remove language gaps.,Benchmark sensitivity and language imbalance remain.,Scaled multilingual transfer section.,Verified-primary-source,Core-citable
BD06,Robust Speech Recognition via Large-Scale Weak Supervision,2023,ICML / PMLR 2023,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Full fine-tuning,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Foundation ASR starting point; zero-shot/fine-tuning baseline,680k hours weakly supervised multilingual audio,680k hours weakly supervised multilingual audio,ASR adaptation evaluation or method-level adaptation evidence,Whisper resets the foundation ASR baseline through weak supervision.,Zero-shot strength does not replace low-resource adaptation analysis.,Foundation ASR baseline and adaptation comparison.,Verified-primary-source,Core-citable
BD07,"Scaling Speech Technology to 1,000+ Languages",2024,JMLR 2024,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Cross-lingual transfer,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Massive multilingual ASR and scaling to many languages,"1,000+ languages; MMS speech technology","1,000+ languages; MMS speech technology",ASR adaptation evaluation or method-level adaptation evidence,MMS expands multilingual ASR coverage to many languages.,Coverage does not imply equal performance across all languages.,Massively multilingual adaptation section.,Verified-primary-source,Core-citable
BD08,ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,2023,Interspeech 2023,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Benchmark-mediated adaptation evaluation,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Benchmark-mediated evaluation of frozen SSL features and downstream heads across languages,143-language ASR and LID benchmark,143-language ASR and LID benchmark,ASR adaptation evaluation or method-level adaptation evidence,ML-SUPERB evaluates frozen and shallow downstream adaptation across languages.,Benchmark setup constrains conclusions.,"Use to discuss how frozen SSL features and downstream heads are compared across languages, not as an adaptation algorithm.",Verified-primary-source,Core-citable
BD09,Language-Universal Phonetic Representation in Multilingual Speech Pretraining for Low-Resource Speech Recognition,2023,Interspeech 2023,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Related-language transfer,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Phonetic-informed multilingual pretraining for low-resource adaptation,Low-resource speech recognition settings,Low-resource speech recognition settings,ASR adaptation evaluation or method-level adaptation evidence,Phonetic-informed pretraining can improve limited-resource adaptation.,Requires careful separation from generic multilingual scaling.,Related-language and phonetic-informed transfer section.,Verified-primary-source,Core-citable
BD10,Evaluating Speech Foundation Models for Automatic Speech Recognition in the Low-Resource Kanyen'keha Language,2025,Interspeech 2025,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Low-resource case evaluation,Top-tier,4,HighValue,AdaptationStrategyAnchor,Indigenous-language adaptation/evaluation case,Kanyen'keha low-resource ASR,Kanyen'keha low-resource ASR,ASR adaptation evaluation or method-level adaptation evidence,Direct low-resource SFM evaluation shows adaptation choices still matter.,Single-language case cannot generalize alone.,Low-resource case-evaluation box.,Verified-primary-source,High-value-citable
BD11,OpusLM: A Family of Open Unified Speech Language Models,2025,Interspeech 2025,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|SpeechLM adaptation / continual pretraining,Top-tier,4,HighValue,AdaptationStrategyAnchor,SpeechLM continual pretraining / multi-stage training,Open speech-language modeling resources,Open speech-language modeling resources,ASR adaptation evaluation or method-level adaptation evidence,SpeechLM training uses staged and continual pretraining strategies.,SpeechLM evidence should not replace ASR-specific anchors.,SpeechLM / future-facing adaptation; use after core ASR adaptation methods.,Verified-primary-source,High-value-citable
